au_id,bec_zone,bec_subzone,bec_variant,leading_species_1,leading_species_2,stand_count,tie_break_record_count,site_series_id,site_series_label,site_series_split_applied
cwh_dm_x_act_dr,cwh,dm,x,act,dr,5,0,ss04; ss07,Cw - Foamflower (07); Fd - Swordfern (04),False
cwh_dm_x_act_fdc,cwh,dm,x,act,fdc,1,1,ss01,Hw - Flatmoss (01),False
cwh_dm_x_act_x,cwh,dm,x,act,x,3,0,ss05; ss07,Cw - Foamflower (07); Cw - Swordfern (05),False
cwh_dm_x_cw_bg,cwh,dm,x,cw,bg,2,0,ss07,Cw - Foamflower (07),False
cwh_dm_x_cw_fdc,cwh,dm,x,cw,fdc,43,11,ss01; ss03; ss04; ss05; ss07,Cw - Foamflower (07); Cw - Swordfern (05); Fd - Swordfern (04); FdHw - Salal (03); Hw - Flatmoss (01),False
cwh_dm_x_cw_hw_ss01,cwh,dm,x,cw,hw,16,0,ss01,Hw - Flatmoss (01),True
cwh_dm_x_cw_hw_ss02,cwh,dm,x,cw,hw,1,0,ss02,FdPl - Cladina (02),True
cwh_dm_x_cw_hw_ss03,cwh,dm,x,cw,hw,6,0,ss03,FdHw - Salal (03); HwCw - Salal (03),True
cwh_dm_x_cw_hw_ss04,cwh,dm,x,cw,hw,6,0,ss04,Fd - Swordfern (04),True
cwh_dm_x_cw_hw_ss05,cwh,dm,x,cw,hw,19,3,ss05,Cw - Swordfern (05),True
cwh_dm_x_cw_hw_ss07,cwh,dm,x,cw,hw,6,0,ss07,Cw - Foamflower (07),True
cwh_dm_x_cw_hw_ss12,cwh,dm,x,cw,hw,2,0,ss12,CwSs - Skunk cabbage (12),True
cwh_dm_x_cw_hw_ssnonforested,cwh,dm,x,cw,hw,1,0,ssnonforested,Non-forested,True
cwh_dm_x_cw_pw,cwh,dm,x,cw,pw,7,0,ss01,Hw - Flatmoss (01),False
cwh_dm_x_cw_x,cwh,dm,x,cw,x,2,0,ss02,FdPl - Cladina (02),False
cwh_dm_x_dr_act,cwh,dm,x,dr,act,38,11,ss03; ss04; ss05; ss07; ss12; ssnonforestedaquatic,Cw - Foamflower (07); Cw - Swordfern (05); CwSs - Skunk cabbage (12); Fd - Swordfern (04); FdHw - Salal (03); Non-forested: aquatic,False
cwh_dm_x_dr_cw,cwh,dm,x,dr,cw,30,8,ss01; ss03; ss04; ss05; ss07,Cw - Foamflower (07); Cw - Swordfern (05); Fd - Swordfern (04); FdHw - Salal (03); Hw - Flatmoss (01),False
cwh_dm_x_dr_ep,cwh,dm,x,dr,ep,9,4,ss01; ss03; ss05; ss07,Cw - Foamflower (07); Cw - Swordfern (05); FdHw - Salal (03); Hw - Flatmoss (01),False
cwh_dm_x_dr_fdc,cwh,dm,x,dr,fdc,11,4,ss01; ss03; ss05; ss07,Cw - Foamflower (07); Cw - Swordfern (05); FdHw - Salal (03); Hw - Flatmoss (01),False
cwh_dm_x_dr_hw,cwh,dm,x,dr,hw,15,2,ss01; ss03; ss04; ss05; ss07; ss12,Cw - Foamflower (07); Cw - Swordfern (05); CwSs - Skunk cabbage (12); Fd - Swordfern (04); FdHw - Salal (03); Hw - Flatmoss (01),False
cwh_dm_x_dr_x,cwh,dm,x,dr,x,10,0,ss05; ss07,Cw - Foamflower (07); Cw - Swordfern (05),False
cwh_dm_x_fdc_act,cwh,dm,x,fdc,act,2,1,ss05,Cw - Swordfern (05),False
cwh_dm_x_fdc_cw_ss01,cwh,dm,x,fdc,cw,25,2,ss01,Hw - Flatmoss (01); HwBa - Blueberry (01),True
cwh_dm_x_fdc_cw_ss02,cwh,dm,x,fdc,cw,1,0,ss02,FdPl - Cladina (02),True
cwh_dm_x_fdc_cw_ss03,cwh,dm,x,fdc,cw,14,5,ss03,FdHw - Salal (03),True
cwh_dm_x_fdc_cw_ss04,cwh,dm,x,fdc,cw,7,0,ss04,Fd - Swordfern (04),True
cwh_dm_x_fdc_cw_ss05,cwh,dm,x,fdc,cw,13,2,ss05,Cw - Swordfern (05),True
cwh_dm_x_fdc_cw_ss07,cwh,dm,x,fdc,cw,10,4,ss07,Cw - Foamflower (07),True
cwh_dm_x_fdc_cw_ss12,cwh,dm,x,fdc,cw,1,0,ss12,CwSs - Skunk cabbage (12),True
cwh_dm_x_fdc_dr,cwh,dm,x,fdc,dr,20,3,ss01; ss02; ss04; ss05; ss07,Cw - Foamflower (07); Cw - Swordfern (05); Fd - Swordfern (04); FdPl - Cladina (02); Hw - Flatmoss (01),False
cwh_dm_x_fdc_hw_ss01,cwh,dm,x,fdc,hw,38,1,ss01,Hw - Flatmoss (01),True
cwh_dm_x_fdc_hw_ss02,cwh,dm,x,fdc,hw,6,0,ss02,FdPl - Cladina (02),True
cwh_dm_x_fdc_hw_ss03,cwh,dm,x,fdc,hw,17,0,ss03,FdHw - Salal (03); HwCw - Salal (03),True
cwh_dm_x_fdc_hw_ss04,cwh,dm,x,fdc,hw,9,0,ss04,Fd - Swordfern (04),True
cwh_dm_x_fdc_hw_ss05,cwh,dm,x,fdc,hw,35,1,ss05,Cw - Swordfern (05),True
cwh_dm_x_fdc_hw_ss07,cwh,dm,x,fdc,hw,22,1,ss07,Cw - Foamflower (07),True
cwh_dm_x_fdc_hw_ss12,cwh,dm,x,fdc,hw,1,0,ss12,CwSs - Skunk cabbage (12),True
cwh_dm_x_fdc_x,cwh,dm,x,fdc,x,16,0,ss01; ss04; ss05,Cw - Swordfern (05); Fd - Swordfern (04); Hw - Flatmoss (01),False
cwh_dm_x_hw_ba,cwh,dm,x,hw,ba,1,1,ss04,Fd - Swordfern (04),False
