au_id,source_stand_count,source_row_count,observed_bin_count,curve_point_count,age_min,age_max,assignment_weight_basis,ambiguous_stand_count,tie_break_stand_count,lexmatch_stand_count,lexmatch_alias_stand_count,sparse_warning,selected_path,rmse,mape,tail_rmse,accepted
cwh_dm_x_cw_fdc,6,216,25,299,0,350,shape_area_ha,1,0,0,0,False,smoothed_bin_pchip,14.581311,0.018681,8.706988,True
cwh_dm_x_cw_hw_ss01,5,180,25,299,0,350,shape_area_ha,2,0,0,0,False,smoothed_bin_pchip,20.525518,0.026113,6.725277,True
cwh_dm_x_cw_hw_ss03,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_dm_x_cw_hw_ss04,4,144,25,299,0,350,shape_area_ha,1,0,0,0,True,smoothed_bin_pchip,16.935913,0.023885,12.328414,True
cwh_dm_x_cw_hw_ss05,6,216,25,299,0,350,shape_area_ha,1,0,0,0,False,smoothed_bin_pchip,12.076795,0.018749,5.88764,True
cwh_dm_x_cw_hw_ss07,1,36,0,0,0,350,shape_area_ha,1,0,0,0,True,insufficient_source_stands,,,,False
cwh_dm_x_cw_hw_ss12,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_dm_x_cw_hw_ssnonforested,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_dm_x_dr_act,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_dm_x_dr_cw,2,72,25,299,0,350,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,8.280552,0.014665,4.026632,True
cwh_dm_x_dr_ep,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_dm_x_dr_hw,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_dm_x_fdc_cw_ss01,7,252,25,299,0,350,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,22.267956,0.022981,8.988128,True
cwh_dm_x_fdc_cw_ss03,4,144,25,299,0,350,shape_area_ha,1,0,0,0,True,smoothed_bin_pchip,23.214901,0.024182,8.497443,True
cwh_dm_x_fdc_cw_ss04,3,108,25,299,0,350,shape_area_ha,1,0,0,0,True,smoothed_bin_pchip,21.074552,0.024167,8.868492,True
cwh_dm_x_fdc_cw_ss05,9,324,25,299,0,350,shape_area_ha,2,0,0,0,False,smoothed_bin_pchip,20.287937,0.024862,11.720072,True
cwh_dm_x_fdc_cw_ss07,2,72,25,299,0,350,shape_area_ha,1,0,0,0,True,smoothed_bin_pchip,28.847803,0.024014,13.570116,True
cwh_dm_x_fdc_hw_ss01,10,360,25,299,0,350,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,23.313062,0.022481,9.141415,True
cwh_dm_x_fdc_hw_ss03,5,180,25,299,0,350,shape_area_ha,1,0,0,0,False,smoothed_bin_pchip,18.322482,0.020073,7.938677,True
cwh_dm_x_fdc_hw_ss04,5,180,25,299,0,350,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,18.90909,0.021905,13.353081,True
cwh_dm_x_fdc_hw_ss05,6,216,25,299,0,350,shape_area_ha,1,0,0,0,False,smoothed_bin_pchip,23.471443,0.023305,11.964831,True
cwh_dm_x_fdc_hw_ss07,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_dm_x_hw_ba,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_dm_x_hw_cw_ss01,20,720,25,299,0,350,shape_area_ha,2,0,1,1,False,smoothed_bin_pchip,18.269478,0.018185,8.066569,True
cwh_dm_x_hw_cw_ss02,2,72,25,299,0,350,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,15.876012,0.022573,5.228518,True
cwh_dm_x_hw_cw_ss03,11,396,25,299,0,350,shape_area_ha,1,0,0,0,False,smoothed_bin_pchip,14.836338,0.017735,6.051913,True
cwh_dm_x_hw_cw_ss04,6,216,25,299,0,350,shape_area_ha,2,0,0,0,False,smoothed_bin_pchip,24.436184,0.025009,12.750427,True
cwh_dm_x_hw_cw_ss05,13,468,25,299,0,350,shape_area_ha,2,0,0,0,False,smoothed_bin_pchip,17.84294,0.016848,8.099462,True
cwh_dm_x_hw_cw_ss07,3,108,25,299,0,350,shape_area_ha,1,0,0,0,True,smoothed_bin_pchip,12.096575,0.014431,5.659901,True
cwh_dm_x_hw_cw_ss12,4,144,25,299,0,350,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,16.662847,0.022512,5.942554,True
cwh_dm_x_hw_cw_ssnonforested,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_dm_x_hw_fdc_ss01,6,216,25,299,0,350,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,20.725048,0.017341,9.064347,True
cwh_dm_x_hw_fdc_ss02,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_dm_x_hw_fdc_ss03,6,216,25,299,0,350,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,22.291342,0.02461,6.827158,True
cwh_dm_x_hw_fdc_ss04,4,144,25,299,0,350,shape_area_ha,1,0,0,0,True,smoothed_bin_pchip,22.955349,0.026156,12.248617,True
cwh_dm_x_hw_fdc_ss05,5,180,25,299,0,350,shape_area_ha,1,0,0,0,False,smoothed_bin_pchip,28.192757,0.026151,10.527299,True
cwh_dm_x_hw_fdc_ss07,1,36,0,0,0,350,shape_area_ha,1,0,0,0,True,insufficient_source_stands,,,,False
cwh_dm_x_hw_fdc_ss12,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_dm_x_mb_dr,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_vm_1_cw_ba,3,108,25,299,0,350,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,15.229382,0.024503,10.195264,True
cwh_vm_1_cw_dr,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_vm_1_cw_hw_ss01,2,72,25,299,0,350,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,11.290357,0.016701,4.912786,True
cwh_vm_1_cw_hw_ss04,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_vm_1_cw_hw_ss05,2,72,25,299,0,350,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,7.275406,0.019001,3.251649,True
cwh_vm_1_cw_hw_ss06,2,72,25,299,0,350,shape_area_ha,1,0,0,0,True,smoothed_bin_pchip,13.335693,0.016341,7.246007,True
cwh_vm_1_cw_hw_ss07,6,216,25,299,0,350,shape_area_ha,2,0,1,1,False,smoothed_bin_pchip,12.730136,0.026788,4.967443,True
cwh_vm_1_cw_hw_ss14,3,108,25,299,0,350,shape_area_ha,1,0,1,1,True,smoothed_bin_pchip,11.842523,0.028835,5.726905,True
cwh_vm_1_dr_cw,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_vm_1_dr_hw,1,36,0,0,0,350,shape_area_ha,1,0,0,0,True,insufficient_source_stands,,,,False
cwh_vm_1_fdc_cw,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_vm_1_fdc_x,3,108,25,299,0,350,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,20.945972,0.024757,14.621874,True
cwh_vm_1_hw_ba,2,72,25,299,0,350,shape_area_ha,0,0,1,1,True,smoothed_bin_pchip,10.274956,0.023051,5.289649,True
cwh_vm_1_hw_cw_ss01,5,180,25,299,0,350,shape_area_ha,2,0,0,0,False,smoothed_bin_pchip,23.375077,0.02562,5.563683,True
cwh_vm_1_hw_cw_ss02,2,72,25,299,0,350,shape_area_ha,1,0,0,0,True,smoothed_bin_pchip,14.025448,0.017347,6.442697,True
cwh_vm_1_hw_cw_ss03,2,72,25,299,0,350,shape_area_ha,1,0,0,0,True,smoothed_bin_pchip,10.818788,0.024767,7.287474,True
cwh_vm_1_hw_cw_ss04,3,108,25,299,0,350,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,17.658793,0.024085,5.778467,True
cwh_vm_1_hw_cw_ss05,5,180,25,299,0,350,shape_area_ha,1,0,0,0,False,smoothed_bin_pchip,18.238459,0.018835,7.304292,True
cwh_vm_1_hw_cw_ss06,2,72,25,299,0,350,shape_area_ha,1,0,0,0,True,smoothed_bin_pchip,18.745241,0.021895,8.372915,True
cwh_vm_1_hw_cw_ss14,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_vm_1_hw_fdc,5,180,25,299,0,350,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,22.8225,0.025402,12.944578,True
cwh_vm_2_ba_cw,2,72,25,299,0,350,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,21.804825,0.023691,10.835731,True
cwh_vm_2_cw_hw,6,216,25,299,0,350,shape_area_ha,1,0,0,0,False,smoothed_bin_pchip,17.091374,0.02651,6.34605,True
cwh_vm_2_fdc_cw,6,216,25,299,0,350,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,17.581307,0.020867,7.070506,True
cwh_vm_2_fdc_hw,6,216,25,299,0,350,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,15.58648,0.022902,3.432938,True
cwh_vm_2_hw_ba,14,504,25,299,0,350,shape_area_ha,1,0,0,0,False,smoothed_bin_pchip,17.167738,0.023389,12.175071,True
cwh_vm_2_hw_cw_ss01,14,504,25,299,0,350,shape_area_ha,3,0,0,0,False,smoothed_bin_pchip,17.65574,0.023037,6.548076,True
cwh_vm_2_hw_cw_ss02,3,108,25,299,0,350,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,11.023104,0.033102,2.789596,True
cwh_vm_2_hw_cw_ss03,11,396,25,299,0,350,shape_area_ha,0,0,1,1,False,smoothed_bin_pchip,15.917888,0.028634,6.683659,True
cwh_vm_2_hw_cw_ss04,8,288,25,299,0,350,shape_area_ha,1,0,0,0,False,smoothed_bin_pchip,25.714188,0.023918,8.126213,True
cwh_vm_2_hw_cw_ss05,3,108,25,299,0,350,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,21.847253,0.024926,9.260295,True
cwh_vm_2_hw_cw_ss06,7,252,25,299,0,350,shape_area_ha,2,0,0,0,False,smoothed_bin_pchip,21.513727,0.025024,7.554449,True
cwh_vm_2_hw_cw_ss07,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwh_vm_2_hw_fdc_ss01,2,72,25,299,0,350,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,23.452032,0.024001,6.973472,True
cwh_vm_2_hw_fdc_ss03,3,108,25,299,0,350,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,11.972344,0.028687,7.087558,True
cwh_vm_2_hw_fdc_ss04,2,72,25,299,0,350,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,27.245884,0.023291,11.078503,True
cwh_vm_2_hw_fdc_ss05,1,36,0,0,0,350,shape_area_ha,1,0,0,0,True,insufficient_source_stands,,,,False
cwh_vm_2_hw_fdc_ss06,1,36,0,0,0,350,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
