au_id,selected_rank,covered_area_ha,bec_zone,bec_subzone,bec_variant,leading_species_1,leading_species_2,managed_curve_id,managed_rule_source,origin_fire_min_age,origin_classification,logging_origin_stand_count,fire_origin_stand_count,logging_origin_si_count,all_stand_si_count,managed_si_source,bootstrap_status,included_in_msyt,mapping_path,managed_si,managed_family_id,density_total,regen_delay,oaf1,oaf2,planted_percent,baseline_system,ct_eligible,ct_target_age,ct_on_fire_origin,hw_ingrowth_pct,hw_ingrowth_source,managed_rule_notes,base_managed_species_1,base_managed_species_2,base_managed_species_3,base_managed_species_4,base_managed_species_5,base_managed_pct_1,base_managed_pct_2,base_managed_pct_3,base_managed_pct_4,base_managed_pct_5,managed_species_overflow_to_hw_pct,managed_species_overflow_to_hw_codes,managed_species_1,managed_species_2,managed_species_3,managed_species_4,managed_species_5,managed_pct_1,managed_pct_2,managed_pct_3,managed_pct_4,managed_pct_5
cwh_vm_1_hw_cw,1,746.215514869601,cwh,vm,1,hw,cw,60001,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,102,17,102,119,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,24.0,cwh_vm_1,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm1 expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_vm_2_hw_cw,2,650.9276842211714,cwh,vm,2,hw,cw,60002,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,84,45,84,129,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,24.5,cwh_vm_2,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm2 first-pass default: CW 70, FD 15, PW 5, BA 5, SS 5; later high-elevation split may replace FD with YC.",CW,FD,BA,PW,SS,70.0,15.0,5.0,5.0,5.0,3.5,SS,CW,HW,FD,BA,PW,49.0,33.5,10.5,3.5,3.5
cwh_dm_x_hw_cw,3,392.86579151444016,cwh,dm,x,hw,cw,60003,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,51,59,51,110,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,30.0,cwh_dm_x,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"dm expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_dm_x_fdc_hw,4,353.64691433719105,cwh,dm,x,fdc,hw,60004,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,60,27,60,87,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,38.0,cwh_dm_x,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"dm expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_vm_1_cw_hw,5,314.4749493334842,cwh,vm,1,cw,hw,60005,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,38,11,38,49,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,25.0,cwh_vm_1,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm1 expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_dm_x_hw_fdc,6,289.57128339545824,cwh,dm,x,hw,fdc,60006,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,43,24,43,67,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,30.0,cwh_dm_x,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"dm expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_vm_2_hw_fdc,7,265.21856082094155,cwh,vm,2,hw,fdc,60007,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,36,9,36,45,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,25.0,cwh_vm_2,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm2 first-pass default: CW 70, FD 15, PW 5, BA 5, SS 5; later high-elevation split may replace FD with YC.",CW,FD,BA,PW,SS,70.0,15.0,5.0,5.0,5.0,3.5,SS,CW,HW,FD,BA,PW,49.0,33.5,10.5,3.5,3.5
cwh_dm_x_fdc_cw,8,213.60847664411727,cwh,dm,x,fdc,cw,60008,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,16,25,16,41,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,33.0,cwh_dm_x,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"dm expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_dm_x_cw_hw,9,181.7198772366682,cwh,dm,x,cw,hw,60009,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,14,19,14,33,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,30.0,cwh_dm_x,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"dm expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_vm_2_hw_ba,10,145.1577843037702,cwh,vm,2,hw,ba,60010,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,7,14,7,21,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,22.0,cwh_vm_2,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm2 first-pass default: CW 70, FD 15, PW 5, BA 5, SS 5; later high-elevation split may replace FD with YC.",CW,FD,BA,PW,SS,70.0,15.0,5.0,5.0,5.0,3.5,SS,CW,HW,FD,BA,PW,49.0,33.5,10.5,3.5,3.5
cwh_vm_1_hw_fdc,11,112.71775703381552,cwh,vm,1,hw,fdc,60011,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,16,5,16,21,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,23.5,cwh_vm_1,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm1 expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_vm_2_fdc_cw,12,94.2502596140714,cwh,vm,2,fdc,cw,60012,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,10,6,10,16,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,28.5,cwh_vm_2,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm2 first-pass default: CW 70, FD 15, PW 5, BA 5, SS 5; later high-elevation split may replace FD with YC.",CW,FD,BA,PW,SS,70.0,15.0,5.0,5.0,5.0,3.5,SS,CW,HW,FD,BA,PW,49.0,33.5,10.5,3.5,3.5
