feature_id,bec_zone,bec_subzone,planted_species1,planted_species2,planted_species3,planted_species4,planted_species5,planted_density1,planted_density2,planted_density3,planted_density4,planted_density5,genetic_worth1,genetic_worth2,genetic_worth3,genetic_worth4,genetic_worth5,planting_delay,planted_percent,natural_species1,natural_species2,natural_species3,natural_species4,natural_species5,natural_density1,natural_density2,natural_density3,natural_density4,natural_density5,oaf1,oaf2,opening_id,vri_ref_age,vri_ref_sph,at_si,ba_si,bg_si,bl_si,cw_si,dr_si,ep_si,fd_si,hm_si,hw_si,lt_si,lw_si,pa_si,pl_si,pw_si,py_si,sb_si,se_si,ss_si,sw_si,sx_si,yc_si
60001,CWH,vm,Cw,Fd,Pw,,,675,675,150,,,,,,,,1,100,,,,,,,,,,,1.0,0.95,60001,0,0,0,0.0,0,0,24.0,0,0,24.0,0,0,0,0,0,0,24.0,0,0,0,0.0,0,0,0
60002,CWH,vm,Cw,Fd,Ba,Pw,Ss,1050,225,75,75,75,,,,,,1,100,,,,,,,,,,,1.0,0.95,60002,0,0,0,24.5,0,0,24.5,0,0,24.5,0,0,0,0,0,0,24.5,0,0,0,24.5,0,0,0
60003,CWH,dm,Cw,Fd,Pw,,,675,675,150,,,,,,,,1,100,,,,,,,,,,,1.0,0.95,60003,0,0,0,0.0,0,0,30.0,0,0,30.0,0,0,0,0,0,0,30.0,0,0,0,0.0,0,0,0
60004,CWH,dm,Cw,Fd,Pw,,,675,675,150,,,,,,,,1,100,,,,,,,,,,,1.0,0.95,60004,0,0,0,0.0,0,0,38.0,0,0,38.0,0,0,0,0,0,0,38.0,0,0,0,0.0,0,0,0
60005,CWH,vm,Cw,Fd,Pw,,,675,675,150,,,,,,,,1,100,,,,,,,,,,,1.0,0.95,60005,0,0,0,0.0,0,0,25.0,0,0,25.0,0,0,0,0,0,0,25.0,0,0,0,0.0,0,0,0
60006,CWH,dm,Cw,Fd,Pw,,,675,675,150,,,,,,,,1,100,,,,,,,,,,,1.0,0.95,60006,0,0,0,0.0,0,0,30.0,0,0,30.0,0,0,0,0,0,0,30.0,0,0,0,0.0,0,0,0
60007,CWH,vm,Cw,Fd,Ba,Pw,Ss,1050,225,75,75,75,,,,,,1,100,,,,,,,,,,,1.0,0.95,60007,0,0,0,25.0,0,0,25.0,0,0,25.0,0,0,0,0,0,0,25.0,0,0,0,25.0,0,0,0
60008,CWH,dm,Cw,Fd,Pw,,,675,675,150,,,,,,,,1,100,,,,,,,,,,,1.0,0.95,60008,0,0,0,0.0,0,0,33.0,0,0,33.0,0,0,0,0,0,0,33.0,0,0,0,0.0,0,0,0
60009,CWH,dm,Cw,Fd,Pw,,,675,675,150,,,,,,,,1,100,,,,,,,,,,,1.0,0.95,60009,0,0,0,0.0,0,0,30.0,0,0,30.0,0,0,0,0,0,0,30.0,0,0,0,0.0,0,0,0
60010,CWH,vm,Cw,Fd,Pw,,,675,675,150,,,,,,,,1,100,,,,,,,,,,,1.0,0.95,60010,0,0,0,0.0,0,0,23.5,0,0,23.5,0,0,0,0,0,0,23.5,0,0,0,0.0,0,0,0
60011,CWH,vm,Cw,Fd,Ba,Pw,Ss,1050,225,75,75,75,,,,,,1,100,,,,,,,,,,,1.0,0.95,60011,0,0,0,28.5,0,0,28.5,0,0,28.5,0,0,0,0,0,0,28.5,0,0,0,28.5,0,0,0
60012,CWH,vm,Cw,Fd,Pw,,,675,675,150,,,,,,,,1,100,,,,,,,,,,,1.0,0.95,60012,0,0,0,0.0,0,0,28.0,0,0,28.0,0,0,0,0,0,0,28.0,0,0,0,0.0,0,0,0
60013,CWH,dm,Cw,Fd,Pw,,,675,675,150,,,,,,,,1,100,,,,,,,,,,,1.0,0.95,60013,0,0,0,0.0,0,0,26.0,0,0,26.0,0,0,0,0,0,0,26.0,0,0,0,0.0,0,0,0
60014,CWH,vm,Cw,Fd,Ba,Pw,Ss,1050,225,75,75,75,,,,,,1,100,,,,,,,,,,,1.0,0.95,60014,0,0,0,28.0,0,0,28.0,0,0,28.0,0,0,0,0,0,0,28.0,0,0,0,28.0,0,0,0
