base_au_rank,base_au_id,au_id,site_series_id,site_series_label,site_series_split_applied,site_series_split_threshold,base_au_area_share_for_split,source_fragment_count,forest_cover_id_count,covered_area_ha,covered_area_share,base_au_area_ha,base_au_area_share,base_au_cumulative_area_share,site_series_share_of_base_au
1,cwh_vm_1_hw_cw,cwh_vm_1_hw_cw_ss01,ss01,HwBa - Blueberry (01),True,0.04,0.16,60,33,191.46185416910157,0.039797924084931526,746.215514869601,0.15511094124027947,0.15511094124027947,0.256577155465012
1,cwh_vm_1_hw_cw,cwh_vm_1_hw_cw_ss05,ss05,BaCw - Foamflower (05),True,0.04,0.16,40,27,131.69296997600824,0.027374156822879872,746.215514869601,0.15511094124027947,0.15511094124027947,0.17648114700351844
1,cwh_vm_1_hw_cw,cwh_vm_1_hw_cw_ss03,ss03,HwCw - Salal (03),True,0.04,0.16,26,20,111.7395268387938,0.023226565028921297,746.215514869601,0.15511094124027947,0.15511094124027947,0.14974162907658112
1,cwh_vm_1_hw_cw,cwh_vm_1_hw_cw_ss04,ss04,CwHw - Swordfern (04),True,0.04,0.16,27,15,93.1853814205132,0.019369836104916768,746.215514869601,0.15511094124027947,0.15511094124027947,0.12487730362561153
1,cwh_vm_1_hw_cw,cwh_vm_1_hw_cw_ss02,ss02,FdPl - Cladina (02),True,0.04,0.16,16,14,66.11630992820625,0.013743165157977452,746.215514869601,0.15511094124027947,0.15511094124027947,0.08860216467056423
1,cwh_vm_1_hw_cw,cwh_vm_1_hw_cw_ss06,ss06,HwBa - Deer fern (06),True,0.04,0.16,13,6,65.86181012036823,0.01369026394652767,746.215514869601,0.15511094124027947,0.15511094124027947,0.08826111064157839
1,cwh_vm_1_hw_cw,cwh_vm_1_hw_cw_ss07,ss07,BaCw - Salmonberry (07),True,0.04,0.16,21,13,37.0372212476662,0.007698685077130678,746.215514869601,0.15511094124027947,0.15511094124027947,0.04963341087077016
1,cwh_vm_1_hw_cw,cwh_vm_1_hw_cw_ss14,ss14,CwSs - Skunk cabbage (14),True,0.04,0.16,9,7,26.371698840402992,0.005481712652349375,746.215514869601,0.15511094124027947,0.15511094124027947,0.03534059305241244
1,cwh_vm_1_hw_cw,cwh_vm_1_hw_cw_ss01,ss01,Hw - Flatmoss (01),True,0.04,0.16,7,3,11.95141254370747,0.0024842620018819812,746.215514869601,0.15511094124027947,0.15511094124027947,0.016016033311497074
1,cwh_vm_1_hw_cw,cwh_vm_1_hw_cw_ss05,ss05,Cw - Swordfern (05),True,0.04,0.16,4,4,10.209230153900466,0.002122125936750146,746.215514869601,0.15511094124027947,0.15511094124027947,0.013681342655659604
