TRACK,STRATA
1,1.0 x 0+treatment()+status(N)+au(2121)+auf(2021)+oper(Operable)+ct(N)+aux(2121):R
2,1.0 x 0+treatment()+status(C)+au(2121)+auf(2021)+oper(Operable)+ct(N)+aux(2121)
3,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(2121)
4,1.0 x 0+treatment()+status(N)+au(2104)+auf(2004)+oper(Operable)+ct(Y)+aux(2104):R
5,1.0 x 0+treatment()+status(C)+au(2104)+auf(2004)+oper(Operable)+ct(Y)+aux(2104)
6,1.0 x 0+treatment()+status(C)+au(2004)+auf(2004)+oper(Operable)+ct(Y)+aux(2104)
8,1.0 x 0+treatment()+status(C)+au(thn_2004)+auf(2004)+oper(Operable)+ct(Y)+aux(2104)
7,1.0 x 0+treatment()+status(C)+au(thn_2104)+auf(2004)+oper(Operable)+ct(Y)+aux(2104)
9,1.0 x 0+treatment()+status(N)+au(2101)+auf(1)+oper(Reserve)+ct(N)+aux(2101)
10,1.0 x 0+treatment()+status(N)+au(1043)+auf(1043)+oper(Reserve)+ct(N)+aux(1043)
11,1.0 x 0+treatment()+status(N)+au(2113)+auf(2013)+oper(Operable)+ct(Y)+aux(2113):R
12,1.0 x 0+treatment()+status(C)+au(2113)+auf(2013)+oper(Operable)+ct(Y)+aux(2113)
13,1.0 x 0+treatment()+status(C)+au(2013)+auf(2013)+oper(Operable)+ct(Y)+aux(2113)
15,1.0 x 0+treatment()+status(C)+au(thn_2013)+auf(2013)+oper(Operable)+ct(Y)+aux(2113)
14,1.0 x 0+treatment()+status(C)+au(thn_2113)+auf(2013)+oper(Operable)+ct(Y)+aux(2113)
16,1.0 x 0+treatment()+status(N)+au(2122)+auf(2022)+oper(Operable)+ct(Y)+aux(2122):R
17,1.0 x 0+treatment()+status(C)+au(2122)+auf(2022)+oper(Operable)+ct(Y)+aux(2122)
18,1.0 x 0+treatment()+status(C)+au(2022)+auf(2022)+oper(Operable)+ct(Y)+aux(2122)
20,1.0 x 0+treatment()+status(C)+au(thn_2022)+auf(2022)+oper(Operable)+ct(Y)+aux(2122)
19,1.0 x 0+treatment()+status(C)+au(thn_2122)+auf(2022)+oper(Operable)+ct(Y)+aux(2122)
21,1.0 x 0+treatment()+status(N)+au(2112)+auf(2012)+oper(Operable)+ct(Y)+aux(2112):R
22,1.0 x 0+treatment()+status(C)+au(2112)+auf(2012)+oper(Operable)+ct(Y)+aux(2112)
23,1.0 x 0+treatment()+status(C)+au(2012)+auf(2012)+oper(Operable)+ct(Y)+aux(2112)
25,1.0 x 0+treatment()+status(C)+au(thn_2012)+auf(2012)+oper(Operable)+ct(Y)+aux(2112)
24,1.0 x 0+treatment()+status(C)+au(thn_2112)+auf(2012)+oper(Operable)+ct(Y)+aux(2112)
26,1.0 x 0+treatment()+status(N)+au(2123)+auf(2023)+oper(Operable)+ct(Y)+aux(2123):R
27,1.0 x 0+treatment()+status(C)+au(2123)+auf(2023)+oper(Operable)+ct(Y)+aux(2123)
28,1.0 x 0+treatment()+status(C)+au(2023)+auf(2023)+oper(Operable)+ct(Y)+aux(2123)
30,1.0 x 0+treatment()+status(C)+au(thn_2023)+auf(2023)+oper(Operable)+ct(Y)+aux(2123)
29,1.0 x 0+treatment()+status(C)+au(thn_2123)+auf(2023)+oper(Operable)+ct(Y)+aux(2123)
31,1.0 x 0+treatment()+status(N)+au(896)+auf(2003)+oper(Operable)+ct(Y)+aux(896):R
32,1.0 x 0+treatment()+status(C)+au(896)+auf(2003)+oper(Operable)+ct(Y)+aux(896)
33,1.0 x 0+treatment()+status(C)+au(2003)+auf(2003)+oper(Operable)+ct(Y)+aux(896)
35,1.0 x 0+treatment()+status(C)+au(thn_2003)+auf(2003)+oper(Operable)+ct(Y)+aux(896)
34,1.0 x 0+treatment()+status(C)+au(thn_896)+auf(2003)+oper(Operable)+ct(Y)+aux(896)
36,1.0 x 0+treatment()+status(N)+au(2101)+auf(6)+oper(Reserve)+ct(N)+aux(2101)
37,1.0 x 0+treatment()+status(N)+au(2121)+auf(30)+oper(Reserve)+ct(N)+aux(2121)
38,1.0 x 0+treatment()+status(N)+au(2121)+auf(98)+oper(Reserve)+ct(N)+aux(2121)
39,1.0 x 0+treatment()+status(N)+au(945)+auf(2003)+oper(Operable)+ct(Y)+aux(945):R
40,1.0 x 0+treatment()+status(C)+au(945)+auf(2003)+oper(Operable)+ct(Y)+aux(945)
41,1.0 x 0+treatment()+status(C)+au(2003)+auf(2003)+oper(Operable)+ct(Y)+aux(945)
43,1.0 x 0+treatment()+status(C)+au(thn_2003)+auf(2003)+oper(Operable)+ct(Y)+aux(945)
42,1.0 x 0+treatment()+status(C)+au(thn_945)+auf(2003)+oper(Operable)+ct(Y)+aux(945)
44,1.0 x 0+treatment()+status(N)+au(2103)+auf(2003)+oper(Operable)+ct(Y)+aux(2103):R
45,1.0 x 0+treatment()+status(C)+au(2103)+auf(2003)+oper(Operable)+ct(Y)+aux(2103)
46,1.0 x 0+treatment()+status(C)+au(2003)+auf(2003)+oper(Operable)+ct(Y)+aux(2103)
48,1.0 x 0+treatment()+status(C)+au(thn_2003)+auf(2003)+oper(Operable)+ct(Y)+aux(2103)
47,1.0 x 0+treatment()+status(C)+au(thn_2103)+auf(2003)+oper(Operable)+ct(Y)+aux(2103)
49,1.0 x 0+treatment()+status(N)+au(2101)+auf(2001)+oper(Operable)+ct(N)+aux(2101):R
50,1.0 x 0+treatment()+status(C)+au(2101)+auf(2001)+oper(Operable)+ct(N)+aux(2101)
51,1.0 x 0+treatment()+status(C)+au(2001)+auf(2001)+oper(Operable)+ct(N)+aux(2101)
52,1.0 x 0+treatment()+status(N)+au(523)+auf(523)+oper(Reserve)+ct(N)+aux(523)
53,1.0 x 0+treatment()+status(N)+au(667)+auf(2021)+oper(Operable)+ct(N)+aux(667):R
54,1.0 x 0+treatment()+status(C)+au(667)+auf(2021)+oper(Operable)+ct(N)+aux(667)
55,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(667)
56,1.0 x 0+treatment()+status(N)+au(761)+auf(2011)+oper(Low Operability)+ct(N)+aux(761):R
57,1.0 x 0+treatment()+status(C)+au(761)+auf(2011)+oper(Low Operability)+ct(N)+aux(761)
58,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Low Operability)+ct(N)+aux(761)
