BLOCK,TYPE,TRACK,OFFSET,AREA
14,unmanaged,1,69,0.204575
14,managed,2,69,1.84117
15,unmanaged,4,6,0.7437
15,managed,5,6,6.6933
16,unmanaged,4,6,0.0118866
16,managed,5,6,0.106979
17,unmanaged,8,13,1.65808
18,unmanaged,9,79,0.97137
19,unmanaged,10,7,0.71941
19,managed,11,7,6.4747
20,unmanaged,14,8,0.429846
20,managed,15,8,3.86861
21,unmanaged,14,8,0.102276
21,managed,15,8,0.92048
22,unmanaged,14,8,0.247159
22,managed,15,8,2.22443
23,unmanaged,18,18,0.91866
23,managed,19,18,8.2679
24,unmanaged,18,18,0.0365584
24,managed,19,18,0.329026
25,unmanaged,22,29,0.0450407
25,managed,23,29,0.405366
26,unmanaged,26,7,2.15841
26,managed,27,7,19.4257
27,unmanaged,30,23,0.245392
27,managed,31,23,2.20853
28,unmanaged,34,18,0.497076
28,managed,35,18,4.47368
29,unmanaged,38,44,0.376476
29,managed,39,44,3.38828
30,unmanaged,42,16,0.121601
30,managed,43,16,1.09441
31,unmanaged,46,11,0.183798
31,managed,47,11,1.65418
32,unmanaged,50,79,0.245109
32,managed,51,79,2.20599
33,unmanaged,54,13,5.78
34,unmanaged,55,15,2.00321
35,unmanaged,56,16,2.22033
36,unmanaged,57,84,0.311429
36,managed,58,84,2.80287
37,unmanaged,62,17,0.335023
37,managed,63,17,3.01521
38,unmanaged,66,17,0.316375
38,managed,67,17,2.84738
39,unmanaged,70,10,0.297186
39,managed,71,10,2.67467
40,unmanaged,70,10,0.250776
40,managed,71,10,2.25699
41,unmanaged,74,64,0.085121
41,managed,75,64,0.76609
42,unmanaged,78,8,0.071818
42,managed,79,8,0.64636
43,unmanaged,78,8,0.0423663
43,managed,79,8,0.381296
44,unmanaged,82,59,0.053659
44,managed,83,59,0.482928
45,unmanaged,82,59,0.122149
45,managed,83,59,1.09934
46,unmanaged,86,47,0.190909
46,managed,87,47,1.71818
47,unmanaged,86,47,0.0160391
47,managed,87,47,0.144352
48,unmanaged,90,12,0.053771
48,managed,91,12,0.483943
49,unmanaged,90,12,0.088235
49,managed,91,12,0.79411
50,unmanaged,93,12,0.81172
50,managed,94,12,7.3055
51,unmanaged,97,12,0.464676
51,managed,98,12,4.18209
52,unmanaged,101,7,0.258651
52,managed,102,7,2.32786
53,unmanaged,105,21,0.73457
53,managed,106,21,6.6112
54,unmanaged,109,15,0.070324
54,managed,110,15,0.63291
55,unmanaged,109,15,0.093963
55,managed,110,15,0.84566
56,unmanaged,113,21,0.48602
56,managed,114,21,4.37418
57,unmanaged,117,9,0.91464
57,managed,118,9,8.2318
58,unmanaged,120,13,1.17638
58,managed,121,13,10.5874
59,unmanaged,124,16,0.076951
59,managed,125,16,0.69256
60,unmanaged,128,11,0.298976
60,managed,129,11,2.69078
61,unmanaged,132,11,0.190089
61,managed,133,11,1.7108
62,unmanaged,136,12,0.3504
62,managed,137,12,3.1536
63,unmanaged,140,9,0.89946
63,managed,141,9,8.0952
64,unmanaged,140,9,0.188945
64,managed,141,9,1.70051
65,unmanaged,144,24,0.09092
65,managed,145,24,0.81828
66,unmanaged,144,24,0.131018
66,managed,145,24,1.17916
67,unmanaged,144,24,0.0476449
67,managed,145,24,0.428804
68,unmanaged,148,25,0.0232091
68,managed,149,25,0.208882
69,unmanaged,148,25,0.128784
69,managed,149,25,1.15905
70,unmanaged,148,25,0.0488369
70,managed,149,25,0.439532
71,unmanaged,148,25,0.253962
71,managed,149,25,2.28566
82,unmanaged,152,149,5.4231
83,unmanaged,153,114,0.0409352
83,managed,154,114,0.368417
84,unmanaged,156,154,0.344516
84,managed,157,154,1.37806
85,unmanaged,159,304,3.8952
86,unmanaged,160,149,0.0277675
86,managed,161,149,0.249908
87,unmanaged,163,114,0.337902
87,managed,164,114,3.04112
88,unmanaged,166,74,0.0362261
88,managed,167,74,0.326035
89,unmanaged,166,74,0.066797
89,managed,167,74,0.60117
90,unmanaged,169,74,1.45287
91,unmanaged,170,304,1.09723
91,managed,171,304,4.3889
92,unmanaged,173,114,0.444328
92,managed,174,114,3.99895
93,unmanaged,176,44,0.191847
93,managed,177,44,1.72663
94,unmanaged,179,64,0.130543
94,managed,180,64,1.17489
95,unmanaged,183,69,3.03159
96,unmanaged,184,144,2.34591
97,unmanaged,185,264,7.1104
98,unmanaged,186,304,4.27074
99,unmanaged,187,264,3.01047
100,unmanaged,187,264,1.28671
101,unmanaged,188,114,0.352681
101,managed,189,114,3.17413
102,unmanaged,188,114,0.083545
102,managed,189,114,0.75191
103,unmanaged,191,47,0.188424
103,managed,192,47,1.69582
104,unmanaged,194,74,2.08534
105,unmanaged,195,154,1.97894
105,managed,196,154,7.9158
106,unmanaged,198,304,4.25116
107,unmanaged,199,149,0.0121739
107,managed,200,149,0.109565
108,unmanaged,199,149,0.091459
108,managed,200,149,0.82313
109,unmanaged,199,149,0.057847
109,managed,200,149,0.52062
110,unmanaged,202,254,2.7397
114,unmanaged,203,149,0.156609
114,managed,204,149,0.62643
115,unmanaged,203,149,0.379882
115,managed,204,149,1.51953
116,unmanaged,206,154,0.071371
116,managed,207,154,0.64234
117,unmanaged,209,69,0.5076
117,managed,210,69,2.03038
121,unmanaged,212,149,0.23192
121,managed,213,149,2.08728
122,unmanaged,215,264,0.066006
122,managed,216,264,0.59405
123,unmanaged,215,264,0.294844
123,managed,216,264,2.6536
124,unmanaged,218,264,2.6315
125,unmanaged,218,264,1.24692
126,unmanaged,218,264,0.6264
127,unmanaged,219,304,3.44686
128,unmanaged,220,114,4.53032
129,unmanaged,221,54,0.174147
129,managed,222,54,1.56732
130,unmanaged,225,54,0.075466
130,managed,226,54,0.67919
131,unmanaged,228,304,3.03411
131,managed,229,304,12.1365
132,unmanaged,231,304,7.7606
133,unmanaged,232,244,1.66824
