GROUP,ATTRIBUTE,ACCOUNT,SUM
_MANAGED_,feature.area.managed.seral.le10,feature.area.managed.seral.le10,1
_MANAGED_,feature.area.managed.state.EM,feature.area.managed.state.EM,1
_MANAGED_,feature.area.managed.state.EN,feature.area.managed.state.EN,1
_MANAGED_,feature.area.managed.state.FM,feature.area.managed.state.FM,1
_MANAGED_,feature.area.managed.state.THN,feature.area.managed.state.THN,1
_MANAGED_,feature.area.managed.total,feature.area.managed.total,1
_UNMANAGED_,feature.area.retention.total,feature.area.retention.total,1
_UNMANAGED_,feature.area.unmanaged.seral.le10,feature.area.unmanaged.seral.le10,1
_UNMANAGED_,feature.area.unmanaged.state.EM,feature.area.unmanaged.state.EM,1
_UNMANAGED_,feature.area.unmanaged.state.EN,feature.area.unmanaged.state.EN,1
_UNMANAGED_,feature.area.unmanaged.total,feature.area.unmanaged.total,1
_MANAGED_,feature.yield.managed.indsp.Ba,feature.yield.managed.indsp.Ba,1
_MANAGED_,feature.yield.managed.indsp.Cw,feature.yield.managed.indsp.Cw,1
_MANAGED_,feature.yield.managed.indsp.Dec,feature.yield.managed.indsp.Dec,1
_MANAGED_,feature.yield.managed.indsp.Dr,feature.yield.managed.indsp.Dr,1
_MANAGED_,feature.yield.managed.indsp.Fd,feature.yield.managed.indsp.Fd,1
_MANAGED_,feature.yield.managed.indsp.Hw,feature.yield.managed.indsp.Hw,1
_MANAGED_,feature.yield.managed.indsp.Oth,feature.yield.managed.indsp.Oth,1
_MANAGED_,feature.yield.managed.indsp.Yc,feature.yield.managed.indsp.Yc,1
_MANAGED_,feature.yield.managed.merch.total,feature.yield.managed.merch.total,1
_MANAGED_,feature.yield.managed.state.EM,feature.yield.managed.state.EM,1
_MANAGED_,feature.yield.managed.state.EN,feature.yield.managed.state.EN,1
_MANAGED_,feature.yield.managed.state.FM,feature.yield.managed.state.FM,1
_MANAGED_,feature.yield.managed.state.THN,feature.yield.managed.state.THN,1
_MANAGED_,feature.yield.managed.total,feature.yield.managed.total,1
_UNMANAGED_,feature.yield.unmanaged.indsp.Ba,feature.yield.unmanaged.indsp.Ba,1
_UNMANAGED_,feature.yield.unmanaged.indsp.Cw,feature.yield.unmanaged.indsp.Cw,1
_UNMANAGED_,feature.yield.unmanaged.indsp.Dec,feature.yield.unmanaged.indsp.Dec,1
_UNMANAGED_,feature.yield.unmanaged.indsp.Dr,feature.yield.unmanaged.indsp.Dr,1
