TRACK,OFFSET,NEXTAGE,CYCLE,status,origin,statecode,au,auf,oper,ct,aux,hasnatcurve
1,0,0,0,N,treated,EM,cwh_vm_2_hw_cw,cwh_vm_2_hw_cw,Operable,N,1070,Y
2,0,0,0,C,treated,EM,cwh_vm_2_hw_cw,cwh_vm_2_hw_cw,Operable,N,1070,Y
3,0,0,0,C,treated,FM,cwh_vm_2_hw_cw,cwh_vm_2_hw_cw,Operable,N,1070,Y
4,0,0,0,N,treated,EM,cwh_dm_x_dr_cw,cwh_dm_x_dr_cw,Operable,Y,266,N
5,0,0,0,C,treated,EM,cwh_dm_x_dr_cw,cwh_dm_x_dr_cw,Operable,Y,266,N
6,0,0,0,C,treated,FM,cwh_dm_x_dr_cw,cwh_dm_x_dr_cw,Operable,Y,266,N
8,0,0,0,C,treated,FM,thn_cwh_dm_x_dr_cw,cwh_dm_x_dr_cw,Operable,Y,266,N
7,0,0,0,C,treated,EM,thn_cwh_dm_x_dr_cw,cwh_dm_x_dr_cw,Operable,Y,266,N
9,0,0,0,N,treated,EM,cwh_dm_x_cw_fdc,cwh_dm_x_cw_fdc,Reserve,N,1,Y
10,0,0,0,N,treated,EM,cwh_vm_1_fdc_x,cwh_vm_1_fdc_x,Reserve,N,1043,N
11,0,0,0,N,treated,EM,cwh_vm_1_hw_cw,cwh_vm_1_hw_cw,Operable,Y,177,Y
12,0,0,0,C,treated,EM,cwh_vm_1_hw_cw,cwh_vm_1_hw_cw,Operable,Y,177,Y
13,0,0,0,C,treated,FM,cwh_vm_1_hw_cw,cwh_vm_1_hw_cw,Operable,Y,177,Y
15,0,0,0,C,treated,FM,thn_cwh_vm_1_hw_cw,cwh_vm_1_hw_cw,Operable,Y,177,Y
14,0,0,0,C,treated,EM,thn_cwh_vm_1_hw_cw,cwh_vm_1_hw_cw,Operable,Y,177,Y
16,0,0,0,N,treated,EM,cwh_vm_1_dr_hw,cwh_vm_1_dr_hw,Operable,Y,134,N
17,0,0,0,C,treated,EM,cwh_vm_1_dr_hw,cwh_vm_1_dr_hw,Operable,Y,134,N
18,0,0,0,C,treated,FM,cwh_vm_1_dr_hw,cwh_vm_1_dr_hw,Operable,Y,134,N
20,0,0,0,C,treated,FM,thn_cwh_vm_1_dr_hw,cwh_vm_1_dr_hw,Operable,Y,134,N
19,0,0,0,C,treated,EM,thn_cwh_vm_1_dr_hw,cwh_vm_1_dr_hw,Operable,Y,134,N
21,0,0,0,N,treated,EM,cwh_vm_2_cw_hw,cwh_vm_2_cw_hw,Operable,Y,92,Y
22,0,0,0,C,treated,EM,cwh_vm_2_cw_hw,cwh_vm_2_cw_hw,Operable,Y,92,Y
23,0,0,0,C,treated,FM,cwh_vm_2_cw_hw,cwh_vm_2_cw_hw,Operable,Y,92,Y
25,0,0,0,C,treated,FM,thn_cwh_vm_2_cw_hw,cwh_vm_2_cw_hw,Operable,Y,92,Y
24,0,0,0,C,treated,EM,thn_cwh_vm_2_cw_hw,cwh_vm_2_cw_hw,Operable,Y,92,Y
26,0,0,0,N,treated,EM,cwh_vm_1_cw_hw,cwh_vm_1_cw_hw,Operable,Y,285,Y
27,0,0,0,C,treated,EM,cwh_vm_1_cw_hw,cwh_vm_1_cw_hw,Operable,Y,285,Y
28,0,0,0,C,treated,FM,cwh_vm_1_cw_hw,cwh_vm_1_cw_hw,Operable,Y,285,Y
30,0,0,0,C,treated,FM,thn_cwh_vm_1_cw_hw,cwh_vm_1_cw_hw,Operable,Y,285,Y
29,0,0,0,C,treated,EM,thn_cwh_vm_1_cw_hw,cwh_vm_1_cw_hw,Operable,Y,285,Y
31,0,0,0,N,treated,EM,cwh_vm_1_hw_cw,cwh_vm_1_hw_cw,Operable,Y,280,Y
32,0,0,0,C,treated,EM,cwh_vm_1_hw_cw,cwh_vm_1_hw_cw,Operable,Y,280,Y
33,0,0,0,C,treated,FM,cwh_vm_1_hw_cw,cwh_vm_1_hw_cw,Operable,Y,280,Y
35,0,0,0,C,treated,FM,thn_cwh_vm_1_hw_cw,cwh_vm_1_hw_cw,Operable,Y,280,Y
34,0,0,0,C,treated,EM,thn_cwh_vm_1_hw_cw,cwh_vm_1_hw_cw,Operable,Y,280,Y
36,0,0,0,N,treated,EM,cwh_dm_x_cw_hw,cwh_dm_x_cw_hw,Operable,Y,45,Y
37,0,0,0,C,treated,EM,cwh_dm_x_cw_hw,cwh_dm_x_cw_hw,Operable,Y,45,Y
38,0,0,0,C,treated,FM,cwh_dm_x_cw_hw,cwh_dm_x_cw_hw,Operable,Y,45,Y
40,0,0,0,C,treated,FM,thn_cwh_dm_x_cw_hw,cwh_dm_x_cw_hw,Operable,Y,45,Y
39,0,0,0,C,treated,EM,thn_cwh_dm_x_cw_hw,cwh_dm_x_cw_hw,Operable,Y,45,Y
41,0,0,0,N,treated,EM,cwh_dm_x_fdc_x,cwh_dm_x_fdc_x,Operable,Y,48,N
42,0,0,0,C,treated,EM,cwh_dm_x_fdc_x,cwh_dm_x_fdc_x,Operable,Y,48,N
43,0,0,0,C,treated,FM,cwh_dm_x_fdc_x,cwh_dm_x_fdc_x,Operable,Y,48,N
